OBJECTID,Country,Region,Subregion,Location,State_Region,Location_type,Project_name,Capacity_m3_d,Size_,Capacity_MGD,Capacity_MIGD,Units,Unit_size_m3_d,Unit_size_MGD_,Unit_size_MIGD_,Technical_notes,Technology,Thermal_design,Thermal_equipment,Membrane_supplier_RO_,Membrane_type_RO_,ERD_supplier,ERD_type,DAF_pretreatment_supplier,DAF_brand,MF_UF_Pretreatment_Supplier,MF_UF_brand,Other_pretreatment,Feedwater,Award_date,Online_date,Consultant,Consultant_2,Consultant_3,Customer_type,Industry,Customer,Plant_status,Plant_type,Plant_supplier,Plant_supplier_share,Plant_supplier_2,Plant_supplier_2_share,Plant_supplier_3,Plant_supplier_3_share,Plant_supplier_4,Plant_supplier_4_share,Plant_supplier_5,Plant_supplier_5_share,Procurement_model,Concession_period,Dev_consortium,Developer,Dev_share,Developer_2,Dev2_share,Developer_3,Dev3_share,Developer_4,Dev4_share,Developer_5,Dev5_share,Developer_6,Dev6_share,EPC_price,Water_price_USD_m3_,Last_update,Latitude,Longitude,Contact,Feedwater_Ph,Feedwater_salinity,Feedwater_temp_minimum,Feedwater_temp_maximum,Product_water_salinity,Product_water_temp,Civil_contractor_offshore_,Civil_contractor_onshore_,Consultant_1,Developer_codeveloper,Engineering_Consultancy,Environmental_advisor,EPC_contractor_desal_,EPC_contractor_pipeline_,EPC_contractor_power_,EPCM_contractor,Equipment_Supplier_Desal_uns_87,Equipment_supplier_Membranes_88,Equipment_Supplier_Chemical__89,Equipment_supplier_DAF_pretr_90,Equipment_Supplier_Energy_Re_91,Equipment_Supplier_Glass_Rei_92,Equipment_Supplier_High_Pres_93,Equipment_Supplier_Low_Press_94,Equipment_Supplier_Membranes_95,Equipment_Supplier_Membranes_96,Equipment_Supplier_Motors,Equipment_Supplier_Pipes_uns_98,Equipment_Supplier_Pressure__99,Equipment_Supplier_Pretreatm_100,Equipment_Supplier_Pumps_Bri_101,Equipment_Supplier_Pumps_Bri_102,Equipment_Supplier_Pumps_Hig_103,Equipment_Supplier_Pumps_Not_104,Equipment_Supplier_Steel,Equipment_Supplier_Valves,Financial_advisor,Government_agency,Holding_Company,Insurance_adviser,Legal_advisor,Lender,Lender_engineer,O_M_contractor,Off_taker,Owner___Client,Owners_engineer,Prime_contractor,Project_Company,Sponsor,Subcontractor,Technical_advisor,Technology_provider,Winner,Short_listed1,Short_listed2,Short_listed3,Short_listed4,Short_listed5,Bid_submitted1,Bid_submitted2,Bid_submitted3,Bid_submitted4,Bid_submitted5,Pre_qualified1,Pre_qualified2,Pre_qualified3,Pre_qualified4,Pre_qualified5,Statement_of_qualification1,Statement_of_qualification2,Statement_of_qualification3,Statement_of_qualification4,Statement_of_qualification5,RO_System,RO_Configuration,RO_Feed_Pump_Drive,RO_Control_Type,RO_Energy_Recovery,RO_Electrical_Power_Consumpt_150,RO_Membrane_Type,RO_Pre_Treament_1st_Stage,RO_NPS_Or_MWCO,RO_Pre_Treament_2nd_Stage,RO_Pre_Treament_3rd_Stage,RO_Pre_Treament_4th_Stage,RO_Pre_Treament_5th_Stage,RO_Passivation,RO_Disinfection,RO_Dosed_Chemical_1st_Stage,MED_Design,MED_System,MED_Equipment,MED_Type,MED_Geometry,MED_Configuration,MED_Power_Consumption,MED_Gain_Output_Ratio,MSF_Design,MSF_System,MSF_Equipment,MSF_Type,MSF_Geometry,MSF_Configuration,MSF_Heat_Recovery_Stages,MSF_Heat_Rejection_Stages,MSF_Gain_Output_Ratio
2211,U.S.A.,Americas,North America,Chester,Pennsylvania,Land based,Chester,382,S,0.100000000000000,0.080000000000000,1,382.000000000000000,0.100000000000000,0.080000000000000,,MSF (Multi-stage Flash),Flash,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1961,1962,,,,Power stations (TDS <10ppm),Power,PHILADEL. P & G,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"400,000 USD",,2014-04-03 15:30:01 UTC,39.849556999999997,-75.355745799999994,,,,,,,,,,,,,,Westinghouse,,,,,,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,PHILADEL. P & G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flash,,,,,,,,
2215,U.S.A.,Americas,North America,San Antonio,Texas,Land based,San Antonio,382,S,0.100000000000000,0.080000000000000,1,382.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,Hydranautics,Spiral Wound Membrane,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1985,1986,,,,Industry (TDS <10ppm),,Advanced Micro,Presumed Offline,Stand-alone,,,,,,,,,,,EPC,,,,,,,,,,,,,,,"400,000 USD",,2012-06-27 03:32:32 UTC,29.424121899999999,-98.493628200000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,U.S.A.,Americas,North America,,Florida,Land based,Florida,381,S,0.100000000000000,0.080000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2014,2014,,,,Industry (TDS <10ppm),Power,,Online,,GENERAL ELECTRIC GROUP (GE),,,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-11 10:22:19 UTC,27.664827400000000,-81.515753500000002,,,,,,,,,,,,,,GE Water and Process Technologies (GEW&PT),,,,,,,,,,,,,,,,,,,,,,,,,,GENERAL ELECTRIC GROUP (GE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2218,U.S.A.,Americas,North America,Burbank,California,Land based,Burbank,381,S,0.100000000000000,0.080000000000000,1,381.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,Hydranautics,Spiral Wound Membrane,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1983,1984,,,,Industry (TDS <10ppm),,Lockheed Corporation,Presumed Offline,Stand-alone,Nitto Denko Corporation,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2012-06-27 03:31:59 UTC,34.180839200000001,-118.308966100000006,,,,,,,,,,,,,,Hydranautics,,,,,,,,,,,,,,,,,,,,,,,,,,Nitto Denko Corporation,,,,,,,Lockheed Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
2219,U.S.A.,Americas,North America,Benson,Minnesota,Land based,Benson,381,S,0.100000000000000,0.080000000000000,1,381.000000000000000,0.100000000000000,0.080000000000000,,MED (Multi-effect Distillation),MVC (Mechanical Vapour Compression),,,,,,,,,,,Wastewater,1993,1994,,,,Industry (TDS <10ppm),,"Apache Nitrogen Products, inc",Presumed Online,Stand-alone,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"560,000 USD",,2012-06-27 03:31:55 UTC,45.314960399999997,-95.600034899999997,,,,,,0,,,,,,,,"Ionics, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,"Apache Nitrogen Products, inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MVC (Mechanical Vapour Compression),,,,,,,,,,,,,,,,
2227,U.S.A.,Americas,North America,Cupertino,California,Land based,Cupertino,380,S,0.100000000000000,0.080000000000000,1,380.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,Hydranautics,Spiral Wound Membrane,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1986,1987,,,,Industry (TDS <10ppm),,,Presumed Offline,Stand-alone,,,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2012-06-27 03:32:00 UTC,37.322997800000003,-122.032182300000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,U.S.A.,Americas,North America,Pennsylvania,Pennsylvania,Land based,Pennsylvania,380,S,0.100000000000000,0.080000000000000,1,380.000000000000000,0.100000000000000,0.080000000000000,,ED (Electrodialysis),,,,,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),1984,1985,,,,Industry (TDS <10ppm),,,Presumed Offline,Stand-alone,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"310,000 USD",,2012-06-27 03:32:24 UTC,40.272221999999999,-76.905556000000004,,,,,,,,,,,,,,"Ionics, Inc.",,,,,"Ionics, Inc.",,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2232,U.S.A.,Americas,North America,New Mexico,New Mexico,Land based,New Mexico,380,S,0.100000000000000,0.080000000000000,2,190.000000000000000,0.050000000000000,0.040000000000000,,ED (Electrodialysis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1988,1989,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Presumed Online,Stand-alone,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"400,000 USD",,2012-06-27 03:32:21 UTC,34.500278000000002,-106.000833000000000,,,,,,,,,,,,,,"Ionics, Inc.",,,,,"Ionics, Inc.",,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2235,U.S.A.,Americas,North America,Denver,Texas,Land based,Denver,379,S,0.100000000000000,0.080000000000000,1,379.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,Wastewater,1985,1986,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,City of Denver,Presumed Online,Stand-alone,Koch Industries Inc.,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"560,000 USD",,2012-06-27 03:32:05 UTC,32.964547500000002,-102.829096300000003,,,,,,,,,,,,,,Koch Membrane Systems,,,,,Koch Membrane Systems,,,,,,,,,,,,,,,,,,,,,Koch Industries Inc.,,,,,,,City of Denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
2238,U.S.A.,Americas,North America,Saint Petersburg,Florida,Land based,St. Petersburgh,379,S,0.100000000000000,0.080000000000000,1,379.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1995,1996,,,,Power stations (TDS <10ppm),Power,Power Corporation,Online,Stand-alone,Water & Power,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2016-01-22 16:52:16 UTC,27.751828400000001,-82.626734499999998,,,,,,,,,,,,,,Water & Power,,,,,Koch Membrane Systems,,,,,,,,,,,,,,,,,,,,,Water & Power,,,,,,,Power Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2239,U.S.A.,Americas,North America,Key Colony,Florida,,Key Colony Beach WTP,379,S,0.100000000000000,0.080000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Wastewater,2013,2014,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Online,,Harn R/O Systems Inc.,,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2017-07-31 15:59:57 UTC,24.720974399999999,-81.018682699999999,,,,,,,,,,,,,,Harn R/O Systems Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,Harn R/O Systems Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240,U.S.A.,Americas,North America,Wilmington,Delaware,Land based,Wilmington,379,S,0.100000000000000,0.080000000000000,1,379.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1988,1988,,,,Industry (TDS <10ppm),,"Analog Devices , Inc.",Presumed Online,Stand-alone,Arocon,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2012-06-27 03:32:17 UTC,39.745946699999998,-75.546588900000003,,,,,,,,,,,,,,Arocon,,,,,,,,,,,,,,,,,,,,,,,,,,Arocon,,,,,,,"Analog Devices , Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,U.S.A.,Americas,North America,Boca Raton ,Florida,Land based,Boca Raton,379,S,0.100000000000000,0.080000000000000,1,379.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),1994,1994,,,,Demonstration,,Public Utility,Presumed Online,Stand-alone,Xylem Inc.,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"310,000 USD",,2012-06-27 03:32:06 UTC,26.358688500000000,-80.083098399999997,,,,,,,,,,,,,,"Waterlink, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,Xylem Inc.,,,,,,,Public Utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244,U.S.A.,Americas,North America,Morro Bay,California,Land based,Morro Bay,379,S,0.100000000000000,0.080000000000000,2,189.500000000000000,0.050000000000000,0.040000000000000,,MED (Multi-effect Distillation),TVC (Thermal Vapor Compression),,,,,,,,,,,Seawater (TDS 20000ppm - 50000ppm),1985,1987,,,,Power stations (TDS <10ppm),Power,Pacific Gas and Electric Company,Offline (Decommissioned),Stand-alone,MECO,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"1,020,000 USD",,2017-12-21 15:10:41 UTC,35.365807500000003,-120.849901299999999,,,,,,0,,,,,,,,MECO,,,,,,,,,,,,,,,,,,,,,,,,,,MECO,,,,,,,Pacific Gas and Electric Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TVC (Thermal Vapor Compression),,,,,,,,,,,,,,,,
2245,U.S.A.,Americas,North America,Indiana,Indiana,Land based,Indiana,379,S,0.100000000000000,0.080000000000000,1,379.000000000000000,0.100000000000000,0.080000000000000,,ED (Electrodialysis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1980,1981,,,,Industry (TDS <10ppm),,,Presumed Offline,Stand-alone,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2012-06-27 03:32:25 UTC,40.000278000000002,-86.250277999999994,,,,,,,,,,,,,,"Ionics, Inc.",,,,,"Ionics, Inc.",,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246,U.S.A.,Americas,North America,Laurel,Florida,Land based,Laurel,379,S,0.100000000000000,0.080000000000000,1,379.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),1984,1984,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Spanish Lakes,Presumed Offline,Stand-alone,Harn R/O Systems Inc.,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"310,000 USD",,2012-06-27 03:32:09 UTC,27.130331900000002,-82.453152000000003,,,,,,,,,,,,,,Harn R/O Systems Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,Harn R/O Systems Inc.,,,,,,,Spanish Lakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248,U.S.A.,Americas,North America,New Jersey,New Jersey,Land based,New Jersey,379,S,0.100000000000000,0.080000000000000,1,379.000000000000000,0.100000000000000,0.080000000000000,,ED (Electrodialysis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1974,1975,,,,Industry (TDS <10ppm),,,Presumed Offline,Stand-alone,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2012-06-27 03:32:20 UTC,40.166944000000001,-74.499722000000006,,,,,,,,,,,,,,"Ionics, Inc.",,,,,"Ionics, Inc.",,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2249,U.S.A.,Americas,North America,New Jersey,New Jersey,Land based,New Jersey,379,S,0.100000000000000,0.080000000000000,1,379.000000000000000,0.100000000000000,0.080000000000000,,ED (Electrodialysis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1974,1975,,,,Industry (TDS <10ppm),,,Presumed Offline,Stand-alone,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2012-06-27 03:32:20 UTC,40.166944000000001,-74.499722000000006,,,,,,,,,,,,,,"Ionics, Inc.",,,,,"Ionics, Inc.",,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,U.S.A.,Americas,North America,New Jersey,New Jersey,Land based,New Jersey,379,S,0.100000000000000,0.080000000000000,1,379.000000000000000,0.100000000000000,0.080000000000000,,ED (Electrodialysis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1974,1975,,,,Industry (TDS <10ppm),,,Presumed Offline,Stand-alone,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2012-06-27 03:32:20 UTC,40.166944000000001,-74.499722000000006,,,,,,,,,,,,,,"Ionics, Inc.",,,,,"Ionics, Inc.",,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254,U.S.A.,Americas,North America,Amarillo,Texas,Land based,Amarillo,378,S,0.100000000000000,0.080000000000000,2,189.000000000000000,0.050000000000000,0.040000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1974,1975,,,,Power stations (TDS <10ppm),Power,Power Station ,Presumed Offline,Stand-alone,Continental Products,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2014-04-03 15:30:02 UTC,35.221997100000003,-101.831296899999998,,,,,,,,,,,,,,Continental Products,,,,,,,,,,,,,,,,,,,,,,,,,,Continental Products,,,,,,,Power Station ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2255,U.S.A.,Americas,North America,Glasgow,West Virginia,Land based,Glasgow,378,S,0.100000000000000,0.080000000000000,1,378.000000000000000,0.100000000000000,0.080000000000000,,MED (Multi-effect Distillation),,STE (Submerged tube Evaporator),,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1951,1952,,,,Industry (TDS <10ppm),,,Presumed Offline,Stand-alone,Envirogenics,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2012-06-27 03:32:34 UTC,38.215381399999998,-81.424559500000001,,,,,,,,,,,,,,Envirogenics,,,,,,,,,,,,,,,,,,,,,,,,,,Envirogenics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STE (Submerged tube Evaporator),,,,,,,,,,,,,,
2256,U.S.A.,Americas,North America,Segundo,Colorado,Land based,Segundo,378,S,0.100000000000000,0.080000000000000,1,378.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1979,1980,,,,Industry (TDS <10ppm),,,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2012-06-27 03:32:05 UTC,37.125298299999997,-104.755546800000005,,,,,,,,,,,,,,Aqua Media,,,,,,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2257,U.S.A.,Americas,North America,Syracuse,New York,Land based,Syracuse,378,S,0.100000000000000,0.080000000000000,1,378.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1981,1982,,,,Industry (TDS <10ppm),,General Electric Group (GE),Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2012-06-27 03:32:22 UTC,43.048122100000001,-76.147424400000006,,,,,,,,,,,,,,Siemens Water Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,General Electric Group (GE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2258,U.S.A.,Americas,North America,Sarasota,Florida,Land based,Sarasota,378,S,0.100000000000000,0.080000000000000,1,378.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1979,1980,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Presumed Offline,Stand-alone,Basic,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2012-06-27 03:32:11 UTC,27.340054720000001,-82.530944820000002,,,,,,,,,,,,,,Basic,,,,,,,,,,,,,,,,,,,,,,,,,,Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2259,U.S.A.,Americas,North America,Sarasota,Florida,Land based,Sarasota,378,S,0.100000000000000,0.080000000000000,1,378.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1975,1976,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,RAMAR DOOLEY,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2012-06-27 03:32:11 UTC,27.340054720000001,-82.530944820000002,,,,,,,,,,,,,,Siemens Water Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,RAMAR DOOLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2260,U.S.A.,Americas,North America,Cleveland,Ohio,Land based,Cleveland,378,S,0.100000000000000,0.080000000000000,1,378.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1979,1980,,,,Industry (TDS <10ppm),,Goulds Pumps,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2012-06-27 03:32:23 UTC,41.499443999999997,-81.695278000000002,,,,,,,,,,,,,,Siemens Water Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,"Evoqua Water Technologies, LLC",,,,,,,Goulds Pumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2261,U.S.A.,Americas,North America,Dallas,Texas,Land based,Dallas,378,S,0.100000000000000,0.080000000000000,1,378.000000000000000,0.100000000000000,0.080000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1969,1970,,,,Industry (TDS <10ppm),Electronics,TEXAS INSTRUMENTS,Presumed Offline,Stand-alone,Koch Industries Inc.,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2014-04-03 15:30:02 UTC,32.783055599999997,-96.806666699999994,,,,,,,,,,,,,,Koch Membrane Systems,,,,,Koch Membrane Systems,,,,,,,,,,,,,,,,,,,,,Koch Industries Inc.,,,,,,,TEXAS INSTRUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
2262,U.S.A.,Americas,North America,Pennsylvania,Pennsylvania,Land based,Pennsylvania,378,S,0.100000000000000,0.080000000000000,2,189.000000000000000,0.050000000000000,0.040000000000000,,MED (Multi-effect Distillation),MVC (Mechanical Vapour Compression),,,,,,,,,,,Brine or concentrated seawater (TDS >50000ppm),1993,1994,,,,Power stations (TDS <10ppm),Power,Bechtel,Presumed Online,Stand-alone,Altus Capital Partners,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"1,240,000 USD",,2014-04-03 15:30:01 UTC,40.272221999999999,-76.905556000000004,,,,,,0,,,,,,,,"Aqua-Chem, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,Altus Capital Partners,,,,,,,Bechtel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MVC (Mechanical Vapour Compression),,,,,,,,,,,,,,,,
2263,U.S.A.,Americas,North America,Gulf Coast,Texas,Land based,USA - Gulf Coast,378,S,0.100000000000000,0.080000000000000,1,378.000000000000000,0.100000000000000,0.080000000000000,,MED (Multi-effect Distillation),,STE (Submerged tube Evaporator),,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1960,1961,,,,Power stations (TDS <10ppm),Power,,Presumed Offline,Stand-alone,Envirogenics,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2014-08-11 11:35:22 UTC,29.368888999999999,-95.005555999999999,,,,,,,,,,,,,,Envirogenics,,,,,,,,,,,,,,,,,,,,,,,,,,Envirogenics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STE (Submerged tube Evaporator),,,,,,,,,,,,,,
2264,U.S.A.,Americas,North America,Hatboro,Pennsylvania,Land based,Hatboro,378,S,0.100000000000000,0.080000000000000,2,189.000000000000000,0.050000000000000,0.040000000000000,,RO (Reverse Osmosis),,,,Hollow Fibre Membrane,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1971,1972,,,,Industry (TDS <10ppm),General,Factory,Presumed Offline,Stand-alone,Amiantit Group,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"390,000 USD",,2014-04-03 15:30:01 UTC,40.174275700000003,-75.106838800000006,,,,,,,,,,,,,,Preussag Wassertechnik(PWT),,,,,Dow Filmtec,,,,,,,,,,,,,,,,,,,,,Amiantit Group,,,,,,,Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Hollow Fibre Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
